Section,Name,How_knew_David,Tribute,Name_for_index
CLARITY,Professor Lewis Barlow,Read his book through a friend.,"David MacKay’s work runs through almost everything I do professionally. I reference him in nearly all of my training, not out of habit, but because his way of thinking about energy and climate change remains foundational.

What resonated most strongly with me—and still does—is his insistence on numbers, not adjectives. David showed that credibility in climate and energy discussions comes from doing the maths, being explicit about assumptions, and being honest about trade-offs. That approach has shaped how I communicate about decarbonisation: grounded, quantitative, and resistant to slogans, greenwashing, or what David himself would have called “bullshit”.

Through Sustainable Energy – Without the Hot Air, and through his lectures and videos, David also articulated something deeper than analysis alone: a clear motivation for why sustainable energy matters, without moralising or oversimplifying. He treated the audience with respect, trusted them with complexity, and showed that rigorous thinking is not a barrier to action but a prerequisite for it.

I am proud to help keep David’s legacy alive through my training and professional work. I regularly use his material—particularly his last interview with Mark Lynas —because it still cuts through in a way few others do. Not only because his legacy needs preserving for its own sake, but because the discipline, clarity, and intellectual honesty he championed are still urgently needed.","Barlow, Lewis"
SEWTHA,Mark Crouch,Read his book and inspired by his work,"David's work set me on the path to working on sustainable energy and decarbonisation. Reading SEWTHA inspired me to start thinking about climate change mitigation as a whole system problem, and based on solid evidence and analysis. After reading his brilliant book, I decided to take a sabbatical and study the Sustainable Energy Futures MSc at Imperial College. It was a highlight of my course to get David (then CSA at DECC) to speak as keynote at our MSc conference, where all the students presented our research projects. 

Following the course I took a career pivot to work on decarbonisation, which I have been doing for the last 15 years. Many years later in my current job, we have been working in emerging economies globally, helping governments to use the Mackay Carbon Calculator to inform their decarbonation and energy policies, and also working closely with DESNZ. David was a huge influence on me and countless others in applying ourselves to the energy and climate challenge. RIP!","Crouch, Mark"
SEWTHA,Peter Kydd CEng FICE,He was part of the client team at DECC,"I first read the on-line version of SEWTHA around 2008/9 and was amazed how one book could cover the essence of our energy system so effectively.  After David was appointed as CSA to DECC a year later, I was lucky enough to attend a lecture with him on Severn Tidal Power (I had led the consulting team advising DECC)   He turned up with his trademark briefcase and pulled out a printed copy of SEWTHA and handed it to me.  I use it to this day. ","CEng, Peter"
SEWTHA,Marc Deisenroth,,"David was a great inspiration to me as a PhD student. His wealth of knowledge was incredible, and the way he could explain and make connections were remarkable. He once told me (half jokingly) that he was shifting his research focus every 5 years or so because he believed he'd made enough of a contribution to the field that others can start picking up and solve the really hard problems. When he was working on SEWTHA, he was the first one who confronted me with some actual numbers on how we could get rid of fossil fuels and what kind of a huge task this will be; but it was possible. It was a great to see him looking at the very hard, societal problems with an approach of passion and pragmatism. In a sense this has planted a seed me and probably influenced my future direction.","Deisenroth, Marc"
SEWTHA,Simon Richards MSc MEI,Read his book,"I read SEWTHA whilst a head of sustainability at a FTSE250 firm (a role that I requested be established having held a succession of senior commercial roles there). The book made me want to study energy at postgrad level. I managed a few years later to fund that full time study, and one of my Professor's often quoted David (whom he had met). I read SEWTHA again, and sometimes cited it in my assignments. I decided to name Sir David in the dedication to my dissertation, and the logic in SEWTHA helped me achieve a Distinction. When I look at the framed degree certificate, and write my post nominal MSc I often think of David and quietly thank him.","Richards, Simon"
ITILA,"George Cybenko, Dorothy and Walter Gramm Professor of Engineering, Dartmouth College",Read ITILA,"I didn't know David personally but was a great admirer of his work.
ITILA is an enduring masterpiece to which I often refer my graduate students.  He was a
giant and is being sorely missed.","Cybenko, George"
SEWTHA,Mark Lynas,Friend and colleague,"I still miss David, and think about him often. The world is changing rapidly, on energy and climate and in many other ways, and I would have loved to still be able to hear David's insight and wisdom. People occasionally email me and ask about updating SEWTHA - I'm not sure why these queries come to me; perhaps because David and I did a roadshow many years ago showcasing his Calculator to live audiences. But I think SWETHA is of its time and still somehow timeless... having said that I'm perhaps more optimistic about the rapidity of the energy transition than I was when David wrote this book. The physics haven't changed, but the economics certainly have. I wish he were still around to see it. ","Lynas, Mark"
SEWTHA,Adrian Critchlow Founder of Australian Solar Group (co-founder of Booking.com),Met in Cambridge and read his excellent book,"David was amazingly open and helpful when we met and ultimately he inspired me to build utility scale solar farms in Australia, so hopefully he is looking down with a smile!","Group, Adrian"
PERSON,"Geoffrey Hinton CC FRS, Nobel Laureate",personal friend and professional colleague,"I first met David when I was presenting a poster at NIPS. He asked several questions about the work that made me think ""why didn't I think of that?"" After about 5 minutes I offered him a postdoc position in Toronto but he was already planning to take up a fellowship in Cambridge.  

David was incredibly talented but also very kind. He stayed with me quite often in Toronto when he was working with Radford Neal and he always brought Wallace and Grommet presents for my children who loved him dearly.

David immediately understood and appreciated the ""bits-back"" argument that was an important intuitive crutch when developing variational inference and learning.  The argument   asserts that the receiver can recover the random bits used by the sender to stochastically pick one of several possible codes for the same message. This means that those random bits can be used to transmit some other message, so the true cost of sending the message is the expected number of bits needed to send the selected code MINUS the entropy of the distribution from which it is selected. It has exactly the form of a free energy.  

In addition to being a brilliant scientist, David had a strong sense of social responsibility and he really made a difference with his SEWTHA book and his subsequent role as the government's chief scientific adviser on energy and climate change.  When he took up his government role, David asked me if I had any advice for him.  I advised him to wear long trousers. 

I was staying at David's house a few days before he took up his government position and at 6.05am the phone went. It was his new boss, the permanent secretary, calling to reprimand him.  The day before, he had given an interview to the BBC in which the journalist told him that someone had said that the UK would run out of energy in 2017 (or thereabouts). David said that was not right. The journalist then asked if it was possible. David, being a true Bayesian, said anything was possible. The lead story on the BBC science website the next morning at 6.00am was that the new scientific advisor said we might run out of energy in 2017. One of David's most endearing characteristics was his unwavering intellectual honesty which made it hard for him to see how people might twist his words. 

David's death was a huge loss for the scientific community and it is very sad that he did not live to see the eventual success of neural networks which had always fascinated him.

","Hinton, Geoffrey"
SEWTHA,Adrian Sharman,,"I found ""Sustainable energy - without the hot air"" in a second-hand bookshop and thought it sounded interesting. It started me on the path of doing much more research about sustainability that ended up completely changing my views on how society needs to be organised. SEWTHA is one of those books (along with Prosperity without growth by Tim Jackson) that I urge people to read if they want to understand where we are and what we need to do.","Sharman, Adrian"
INFORMATION_THEORY, Matthias Seeger,,"David is one of my science all-time-heroes, his writings and argumentation formed my thinking (I recall vividly him and Radford Neal taking apart frequentist arguments during a Royal Society of Edinburgh meeting). But even more (how is this possible?) than his putting ML and neural networks on a solid Bayesian foundation, I was impressed and guided by his work on Sustainable Energy.

Many many people (including myself) talk, but David
walks the walk. It is such a profound loss, and I often wonder what David's contributions would be to AI or Climate Change policy today, or whatever his great mind would have identified to address as the next big problem to bring clarity and action to.","Seeger, Matthias"
ITILA,Jose Miguel Hernandez Lobato,"Read his book, attended his lectures and talks. Built on his research on the Laplace approximation to neural networks.","David's book ""Information Theory, Inference and Learning Algorithms"" was my first serious introduction to Machine Learning when I was a PhD student. I loved it! David's work on the Laplace approximation to neural networks had a big influence in my own research.","Lobato, Jose"
ITILA,Tiago Peixoto,Read his books.,ITILA is probably the best textbook ever written.,"Peixoto, Tiago"
CLARITY,Jonathan Rougier,,"David, whom I did not know well, continues to influence me through his books, not just the material, but also the playful and engaging style, which I try to emulate, and the flashes of brilliance, which I never could.","Rougier, Jonathan"
INFORMATION_THEORY,"Roland F. Schwarz, PhD",we collaborated on DNA storage,"I only met David a few times during my work at EBI on the DNA storage project, but he left a lasting impression on me through both his brilliance and his kindness.","Schwarz, Roland"
ITILA,Max Welling,"We knew each other and of each others work, but never worked together.","David's work introduced me to the beauty of Bayesian ML. Moreover, I learned about MCMC and BP from his work. Of course I bought his book ITILA and I share his passion to act on climate change. (And I tried Dasher but failed to increase my typing speed..) He was a hero of a time where beautiful ideas still made a difference and AI was not just about scaling laws... ","Welling, Max"
CLARITY,Prof. Helmut Grubmüller,We met for just a few hours discussion on occasion of David's visit here in Goettingen for his lecture  within the scope of the Goettingen Autumn Literature Festival.,"I vividly recall David's visit to Goettingen, where we discussed with great pleasure and enthusiasm the physics of molecular motors. It was immediately clear
that David and myself were speaking a very similar physics language; combined with his insatisfyable curiosity, that was a very memorable day.
I should also mention that the reason we invited David to Goettingen was his visionary book on sustainable energy which, looking back from today's perspective,
got everything just right. Still, I wish politicians and decision-makers read this book, which, if really understood and applied, would change the world for better.
","Grubmüller, Helmut"
INFORMATION_THEORY,Stephan ten Brink,"the first time I met David was at my poster at the Turbo Symposium in Brest, France, Sept. 2000","He was very quick in capturing the ""core"" of novel technical approaches, and was benevolently sharing ideas on further improvements. During only 10min of discussion at my poster on convergence of iterative decoding (Turbo Symposium, Brest, France, Sept. 2000) I got inspiration and material for doing research for the next 3 years...","Brink, Stephan"
INFORMATION_THEORY,Brendan Frey,Friend and colleague,"David and I were good friends and collaborated on machine learning and digital communications. I liked that he was inspiring, direct and optimistic, both in our personal lives and in our research. We had a lot of great debates across a wide range of topics, from neural networks to how dangerous it really is to go over Niagara falls in a barrel. I miss him.","Frey, Brendan"
INFORMATION_THEORY,Roger Sewell,Family friend,David introduced me to the practical use of Bayes - from which I never looked back. He was also the best-behaved teenager I have ever encountered.,"Sewell, Roger"
SEWTHA,Philip Sargent,"From Cambridge, and worked together at DECC","Although I didn't meet him at the event, David came to the inaugural meeting of our Cambridge Energy Forum
in January 2005; where Sir David King gave the talk. David later said that this had renewed his determination to
do something in energy which resulted in ""Sustainable Energy without the Hot Air"". David came to a few of
the Forum meetings after that.

A software engineer, Adrian Wrigley, attending the forum meetings had an idea about tidal energy and I put him in
touch with David and the three of us formed a company, wrote a patent, and David applied for grant money to
support Adrian to continue the research. This was all in the first half of 2007. What happened next was typical
when you work with David. He had another think, and had some further inspiration (tidal energy has some tricky physics),
and he came to see that maybe we had had it all backwards: that a resonator at tidal frequencies was actually exactly
the wrong thing to do. At the same time we all determined that the experimental data we had been using for seabed
bottom friction was probably completely bogus: which killed the idea, resonant or not. None of us had any difficulty with
that conclusion but in retrospect I realise that this is not common human behaviour. Some of David's analysis
of the tidal physics remains unpublished and we should probably do something about that.

In 2012 the startup technology company I had been working at was running out of steam and a colleague of the Forum,
Tim, who knew David well, rang me to say that after a year or so as Chief Scientific Advisor to DECC, David still hadn't
managed to fill his team of engineers and would I be interested, or did I know anybody. Civil service processes are
not fast and it was 7 months later in October 2012 that I began work as a G7 engineer in David's immediate team of a dozen
engineers.

Working in DECC was great: I was surrounded by clever people, working on important issues in renewable heat and bioenergy.
The team's unfortunate habit of showing the rest of the department that favourite policy proposals often didn't add up
did not endear us to career civil servants, and David shouldered the responsibility of supporting us without a thought.
Despite what you might expect from an extraordinarily capable physicist, David had absolutely no difficulty in seeing
that what the department needed most urgently was engineers. His achievement in getting a substantial, if small,
central engineering team in place is one of his most important - but unsung - achievements. (That team is still there,
now in the Dept. of Energy Security and Net Zero.)

We were a rather informal group at DECC, encouraged by David. I remember our Christmas parties held in 3 Whitehall Place
in the late afternoon, where fancy dress was the rule and David would participate in pairwise space-hopper races
in a 20m course between the desks. Happy days.","Sargent, Philip"
ITILA,Matthew D. Hoffman,Fan of his work and collaborator with some of his students,"Sadly I never had the privilege of meeting him, but Professor MacKay taught me quite a bit through his papers, his book on information theory, and, by no means least, his brilliant (and brilliantly trained) students.","Hoffman, Matthew"
ITILA,Miguel Angel Yescas Gonzalez,I met David at Darwin College during my time in Cambridge (1998-2001),"From the beginning, it was clear that David was a man of deep convictions and genuine respect for others. His intellect was remarkable. I had the privilege of using his ITILA to build neural network models in materials science, and each time I did, I was reminded of his brilliance and clarity of thought.
David was exceptionally gifted, an ascending star in every sense. His legacy is enormous, not only through his scientific contributions but also through the integrity and kindness he showed to those around him. If he were still with us today, I have no doubt he would have reached even greater achievements.","Gonzalez, Miguel"
CLARITY,Pr. Eric Moulines,colleague working in the same field,"David  was a very brilliant mind. We shared many common interests: Bayesian networks, inference in hierarchical models, and also a desire to produce research that would not be entirely ‘sterile’ but would lead to real applications. I only realized too late the importance of his fight for a decarbonized world. I’m looking into what I can do.","Moulines, Pr."
SEWTHA,Dr Richard Kembleton,"Student, read his books, had some personal interactions about fusion energy","I attended David's lectures on information theory, and applied his methods during my PhD. Learning about inference from him changed the way I think about data and machine learning, and I still refer to ITILA and SEWTHA when I want to reduce ideas about information or energy down to bare essentials. We invited him to visit UKAEA during early drafting of SEWTHA and appreciated his openness and curiousity.","Kembleton, Richard"
SEWTHA,Hiroaki Minato,,David and his writings inspired me to contribute in the energy domain as a statistician.,"Minato, Hiroaki"
CLARITY,Phil Withers (Regius Prof. of Materials),Friend and colleague,"Meeting David (thanks to Harry Bhadeshia and Darwin college (and to a lesser extent the films of Charlie Chan (?) which I think Harry and David shared an interest in)) was a turning point for me - we started to work on applying neural networks to materials science with his help a long time before AI was in vogue.  Furthermore I was inspired by the way David was brave enough to apply the physics analytical approach to a wide range of topics outside his comfort zone  and then to follow it through, as evidenced by SEWTHA becoming Chief Scientific Advisor to the UK Department of Energy and Climate Change (DECC). I valued his warmth and guidance in all things Bayesian.  He is really missed.","Withers, Phil"
PERSON,Prof. Andreas Herz,,David loved this world and deeply believed that scientific reasoning can make it a better place.,"Herz, Andreas"
