Section,Name,How_knew_David,Tribute,Name_for_index
CLARITY,Dr Tony Robinson,We worked together in early neural net days.,"I have to admit that I was disappointed when David switched from Machine Learning to Sustainability.  He was clearly a genius in Machine Learning, we were going to miss him and surely someone else could sort out Sustainably.  Much later I realised he was right, he could just see it way before the rest of us.","Robinson, Tony"
CLARITY,Keith Vertanen,student of his,"With my students, the best I can hope for is to be a sad approximation of the kind of supervisor David was for me. He was always patient, provided insightful feedback, and was a master at the art of scientific communication. Learning from him was a remarkable experience that has profoundly shaped my daily work.

He taught me the golden rules of writing: 
Rule 1: Every sentence must be true. 
Rule 2: Every sentence should be clear, subject to rule 1. 
Rule 3: Every sentence should be concise, subject to rule 1 and 2.","Vertanen, Keith"
CLARITY,"Tom Loredo, PhD","We met as grad students at a MaxEnt meeting, and again at many subsequent meetings, and stayed in touch afterward.","Asked to comment on David's career, two words sprang immediately to mind: ""insight,"" and ""delight."" The image accompanying them is of David smiling at sharing or reaching some new insight at a scientific meeting—I don't think I've ever known anyone who took more delight in achieving insight. The next image is of David enthusiastically organizing an Ultimate Frisbee match!

David and I met at a MaxEnt meeting early in our respective careers—either my first one in 1989, or the next. We were both graduate students who had excitedly discovered Bayesian inference and were eager to apply it to data analysis problems in our respective fields, mainly computer science and machine learning for David (as he shifted from his initial physics focus), and astrophysics for me. David proved to have chosen the more receptive field (it would be about a decade before Bayesian methods became broadly accepted in astronomy; a bit more quickly for cosmology). We struck up an immediate academic and personal friendship. We stayed in close touch for several years, meeting every year or two at MaxEnt meetings, and corresponding by email in between. One of the most memorable compliments of my career was when David brought his then-girlfriend to hear one of my MaxEnt talks; he told me he thought highly of my talks and he wanted her to see one.

David leapfrogged me in understanding subtle aspects of Bayesian inference. After one of my talks, he asked a brief, perceptive question that I didn't know how to answer (about peculiar behavior in a Bayes factor calculation). It took nearly a decade before I saw what he was getting at (and wrote a paper on it). David asked me to review several chapters for his thesis, ""Bayesian Methods for Adaptive Models."" Of course, this proved to be more of a learning experience than an editorial one! I vividly remember how impressed I was with his chapter on ""Bayesian Interpolation,"" and how he expertly wielded the Bayesian Occam's razor idea to explain what was going on. The chapter on active data selection would later strongly influence papers I wrote on Bayesian adaptive exploration in astronomy.

With our careers leading in different directions, and especially when David took on his UK DECC role, we fell out of regular contact, but we'd each reach out to the other from time to time. I emailed him upon learning of his sustainable energy book and DECC appointment. Shortly after, a hardcover copy of his SEWTHA book showed up in my mail—a typical act of generosity from David!

David's graphical insight into the Bayesian Occam's razor, displayed in Figures 28.3 and 28.5 in ITILA, provided a major ""Aha!"" moment for me, and those figures have become influential. I once asked David how he came up with them. He told me he was just illustrating an equation he was struck by in a long 1990 review paper I had written for a MaxEnt proceedings, explaining Bayes factors and Occam factors mathematically. He had seen a way to explain what was going on that was more insightful (and delightful) than the math alone. Well, the equation wasn't really original to me; I had distilled it from previous work by Harold Jeffreys, Ed Jaynes, and Steve Gull (and I suspect David was being generous with his story; he'd probably seen the idea in Ed's and Steve's writing). That's just to say that we all stand on the shoulders of giants—and David's intellectual legacy certainly marks him as one himself.

I have a special shelf in my library where I keep the books that have most profoundly influenced my academic life. ITILA is on that shelf, among tomes by Harold Jeffreys, Ed Jaynes, and Dennis Lindley. Full of insight (and David's signature quirky delight), it belongs in that intellectual sacred space. I miss him!","Loredo, Tom"
PERSON,Dr Carl Scheffler,"I met him at AIMS, the African Institute for Mathematical Sciences, when I was a teaching assistant there. I eventually joined his Inference group at Cambridge as a PhD student.","Above all, David inspired me to become a great teacher.

I met David at AIMS, the African Institute for Mathematical Sciences in Cape Town, when I was a teaching assistant there. David's passion and excitement for physics, probability theory, and information theory were infectious, but it was his dedication to being a great teacher that was truly inspirational.

David could explain things so clearly that you wondered how they could not have made sense before. I later learned that he would spend hours improving his lectures, exercises, and explanations, aiming for perfection.

After a wonderful 3½ years in Cambridge as a PhD student in David's Inference group, and after a few years away from academia and in industry, I have for the past 9 years happily been spending my own working hours as a teacher, trying every day to perfect my art and to live up to the very high standard that David set. Even in his absence and the terrible loss it represents, he will always remain a mentor to me.","Scheffler, Carl"
PERSON,"Virginia de Sa, PhD ",friend and colleague,"David MacKay was one of the most principled people I know.  The quality effort he put into researching his academic areas was also directed toward important world issues; when he determined that something was important, he had the integrity and courage to advocate for it and also have it guide his life, without compromise for personal comfort.  He was also an incredibly clear thinker and an excellent, patient, teacher, generous with his time.","Sa, Virginia"
CLARITY,Marcus Frean,personal friend,"I met David when he came to Edinburgh in the late 1980's and ignited everyone's interest in all things probabilistic, with his positivity and quite astonishing clarity. Later, he helped me with my first paper on evolution, and we somehow became good friends. I'm very proud to have introduced him to ultimate frisbee, which I think he loved! A particular memory I have is when he visited New Zealand and we went walking in the hills, and he mentioned he was thinking of either getting into neuroscience or writing another book about energy... Of course, he did both. He once took my whole family with him to Wales -- my sons remember him looking after them and telling scientific stories with his characteristic flair and enthusiasm, and I remember the quite awesome sand castle we build on the beach. I used ITILA as  textbook for my 4th year course for years, and still recommend it to students -- often just as a way for people to see how to write with intent! If my mind is all over the place and I need to think more clearly, sometimes I'll just pick up that book and browse: it has the odd effect of making the reader feel sharper -- better! --by osmosis. I'm still so sad about his death. It still gets me at odd moments. I admired the hell out of him, and I still really miss him. His massive generosity of spirit. What a total legend. I feel there's more to say, but I don't really know how to say it. He was a very formative person for me. I wouldn't be the same person if I hadn't known him - that's a fact.","Frean, Marcus"
PERSON,Tadashi Tokieda,"Personal friend, read his books (indeed commented on drafts), colleague at Cambridge, frequent discussions on mathematics/physics/languages","I knew David MacKay well personally, we also discussed a lot of mathematics/physics together, so I was eager to contribute a tribute; I certainly have countless stories.  But I find myself tongue-tied.  Thus I realized that I still haven't processed his passing.  Sorry this turns out to be an empty entry.  Perhaps, that I'm still overwhelmed after 10 years says something about him.","Tokieda, Tadashi"
CLARITY,Yair Weiss,I met him at many conferences,"I remember reading David's ""Bayesian Interpolation"" paper when I was in graduate school and being blown away. It was so cleanly written with an almost impossible combination of mathematics and intuition. I now teach a course on ""Bayesian Machine Learning"" and I tell the students about a famous ML researcher who reportedly refused to go out to dinner with another ML researcher because he was not sufficiently Bayesian. I am not sure if this story is true (reportedly it happened after a talk at Gatsby) but from my informal interactions with David over the years, it is certainly plausible!  ","Weiss, Yair"
SEWTHA,Niall Mansfield,edited the first version of SEWTHA,"Here's how we published David MacKay's ""Sustainable Energy - without the hot air"", and how
it affected us and the wider world.

At a summer barbecue in 2008, a friend said some guy in the Physics Dept at Cambridge had a book he wanted published.  It sounded like ""some guy"" was a postgrad, or a postdoc, but I followed up and was very surprised I was dealing with a professor -- David.  We met for
lunch in Darwin, I was frank about how many (i.e. how few) books we'd published.  David
wanted his book to be available free as a PDF, which was very unusual in those days.  We
weren't very busy (with our few books) but this looked like a worthwhile effort.  The
downside was that a free PDF might kill all paid sales of the hardcopy book, so we did a
deal: David would buy 1000 copies at half cover-price, which would cover our basic costs.
By the end of lunch we had a deal.

Working with David as his editor was interesting and demanding, and rewarding.  He was a
brain-box but had neither false modesty nor arrogance.  He knew what he knew, and I could
rely on his being right.  If he didn't know, he would gratefully accept someone else's
wisdom (mine in this case, regarding how books are created) was was why it was rewarding,
and also unusual.  It's not uncommon for authors to view their book as a poster for how
clever they are.  SEWTHA was the opposite: it made *readers* see they were clever in their
own way, because it let them understand lots of complex and difficult issues.  It didn't
preach -- it informed.  It assumed readers were intelligent and could make up their own
minds, which they loved.  This was how it could be endorsed by a senior exec of a huge oil
company (Shell AFAIR), and also by Friends of the Earth.

The book was printed in time for a meeting in early Dec-2008 of the Cambridge Society for
the Application of Research (CSAR).  David was the typical author, confident that the
auditorium would be overflowing, whereas from my experience of book launches I knew we'd have just a handful of people, possibly an embarrassingly small handful.  But to humour our latest author I loaded up with dozens of boxes of our latest book.  At Churchill,
where the CSAR met, David was proved 100% right.  So many people turned up that the CSAR had to abandon its normal entry charge, and literally, there audience was flowing out the doors.  Our enormous sales on the first night overcame my embarrassment at being so
wrong.

The book continued to do very well -- many tens of thousands of copies, in the UK and the
USA and elsewhere.  We never had any figures for how many people downloaded the PDF, but it was probably a million or more.  And several foreign-language editions -- Chinese,
French, Hungarian, ... -- were published too.

Some specific appreciation of the book was important: we heard that the head civil servant
in the Dept of Energy and Climate Change (DECC) asked her people ""Why haven't we heard
about this before?"" and in due course David was appointed Chief Scientific Advisor (CSA)
at DECC.  He had concerns about how he well he would fit in the civil service milieu, but
it worked out well.  A big DECC projects he initiated was the 2050 Carbon Calculator, that
gov.uk says ""provides a model of the UK energy system that allows you to explore pathways
to decarbonisation, including net zero by 2050"".  This had global reach, and many
countries developed their own versions of the model.  David was CSA at DECC from 2009 to
2014, and others are better qualified than I to detail the wider influence he had on the
world.

For ourselves, David's book transformed what we did.  We were able to incorporate the
business of another publisher, Green Books into UIT, and we specialized in books on
sustainability, with my special area being sustainable (house) building, which we
continued until the end of the Covid-19 pandemic, when -- exhausted -- we sold our
business to Bloomsbury, who continue to publish SEWTHA and the other ""without the hot air"" books that SEWTHA inspired. 

At David's funeral at Barton woodland burial ground, lots of people spoke, giving their memories.  What surprised me was that there were so many aspects of his life and his character that I wasn't aware of -- such as his ongoing work with a youth club, and his statistics work that helped free Sally Clark. I remember in detail his mother's speech saying that when he was growing she had told him that there was nothing intrinisically good in his being the brain-box that he clearly was; what mattered was how he put that gift to use. I can't fault either her comment or how he effected it.
","Mansfield, Niall"
CLARITY,Richard Durbin,,"David was one of the brightest stars of the Cambridge intellectual firmament.  I was fortunate to interact with him repeatedly across the years, from early arguments about Bayesian inference and the origins of machine learning, to enjoyment of music, food and discovery with our mutual friend Graeme Mitchison, to the productive interactions of his student Oli Stegle with my student Leo Parts that led to successful careers of both in computational genomics, through to the memorable final symposium and dinner in his honour.  He was one of those people with whom it was always worth making time to talk, always passionate and always stimulating.  So sad for the world to have lost him so early.","Durbin, Richard"
CLARITY,Matt Davey,,"I first met David in 1995 when I was over from Dublin interviewing for a PhD place in the Cavendish, where his pitch in the prospectus stood out for the wide range of interests in his fledgling Information Theory group.  My distinct recollection is of him doing most of the talking, on a mission to enthuse me with all things Bayesian.  On some basis, he offered me a place.  That enthusiasm, and patience with people a lot slower on the uptake than himself, carried me through my Thesis.  During that time he was supervising me on error-correcting codes, plus projects on blind source separation, metallurgy, protein folding, and human computer interfaces. As my time there unfolded, what stood out for me was the generosity with which David would effortlessly and freely dish insights that would unlock a problem, or open up whole areas of research.  Gone far far too soon.
","Davey, Matt"
PERSON,"Prof. Dr David P Kreil, Boku University Vienna",,"I have had the privilege to experience David MacKay both as a mentor while I was a student and later as a unique colleague during my tenure as Research Fellow at Darwin College. Not only was he a brilliant mind but he typically was also the most passionate person in the room, whether defending big issues like scientific rigour or energy conservation or arguing about really anything else, even basic things like keeping the printers working at his group at the Cavendish. I learned a lot from him about passionate attention to detail, no matter how harsh his judgement could be at times or, perhaps sometimes, actually because of that. He was just as passionate about playful fun, whether that was enjoying his sports or building a watermill driven sheep spit roast in the College gardens. He lives on in the memories of so many.","Kreil, David"
PERSON,Tommi Jaakkola,I met David when I was a grad student (decades ago) in workshops & conferences,"David was an inspiring cross-disciplinary thinker and scholar with unstoppable energy and enthusiasm for discovery. He was an exceptional educator, always strived to uncover and share the essence of things. He had rare integrity and courage, as a scholar, as an advocate for progress.","Jaakkola, Tommi"
PERSON,Professor Anil Madhavapeddy,"I read and his book, and interacted with him at Cambridge events","Back in around 2011, I was just getting established as a lecturer and happened to go to a dinner at Darwin where I sat beside David. I didn't know who he was then, but we spent the whole dinner chatting about SEWTHA and Dasher. He was so passionate about data science and its potential for positive impact on society. A decade later, when I was pivoting my whole research career and setting up the Energy & Environment Group with Srinivasan Keshav, David was my direct inspiration that this was the right thing to do.","Madhavapeddy, Anil"
DASHER,Paivi Majaranta,,"We greatly appreciate the work David did for the benefit of people with disabilities, and are thankful for his contributions to the COGAIN network (Communication by Gaze Interaction, www.cogain.org). His work continues to inspire us.","Majaranta, Paivi"
CLARITY,Agustinus Kristiadi,,"I did not know David personally, only indirectly through Philipp Hennig, who was my PhD advisor. Even so, his influence on my work runs deep. My PhD and postdoc were built largely on his ideas from the 1990s — the Laplace approximation for Bayesian neural networks. His 1992 papers were my most-read papers throughout my studies. And even now, as I chart my own research direction, the threads keep leading back to his work from so many years ago. Science has long memory, and David's ideas are proving to be some of its most durable.","Kristiadi, Agustinus"
SEWTHA,Mike Ashby,,"All scientists talk about their ideas and, if they want to place them on the scientific stage, relate them to past work and present concerns. A few have the ability to pave at path of reasoning through the clouds of information and construct a structure base on scientific reasoning, not populist appeal, that conveys their meaning to the non-expert. David MacKay was one such person. His grasp of the big picture, his use of-magnitude physics to distinguish the relevant from the trivial, and his ability to assemble a picture that conveyed the possible from the merely hoped-for, was unique. Through his talks, papers and book (“Sustainable energy”) he leaves a legacy that has become the inspiration to
those who followed.","Ashby, Mike"
INFORMATION_THEORY,Prof Chris Williams,"I knew David via his work on machine learning from 1990 onwards, and met him quite frequently in the 1990s and into the 2000s. ","I first met David in 1990 when he visited Geoff Hinton's group at the University of Toronto.  At that time he was working on Bayesian approaches to neural networks, and he developed a very fruitful collaboration with Radford Neal. I well remember David's keen intellect and desire to get to the bottom of issues.  Bayesian neural networks were the origin of my work on Gaussian processes, based on Radford's proof that the limiting prior for a neural network with an infinite number of hidden units was a Gaussian process. David was very supportive of the early GP work, helping us to understand things better. I met with David quite frequently in the 1990s and into the 2000s.

There were so many things that we learned from David. One practical one was that he had arranged with CUP that his ITILA (2003) book would be made available freely online. This inspired Carl Rasmussen and I to negotiate with MIT Press to do a similar thing (after a grace period) for our book on Gaussian Processes for Machine Learning.

In the 2000s of course David switched his main focus to sustainable energy, realising the immense importance and impact that this topic would have. He had the courage to become the Chief Scientific Advisor to the Department of Energy and Climate Change, despite the
constraints that working in government would no doubt have imposed on a free-thinking academic. The whole world benefitted from his work in this field.

David was a great scientist who was taken from us far too early. I'm very glad that the Cambridge Philosophical Society is organizing the Energy and Information meeting to continue his memory.
","Williams, Chris"
CLARITY,Malcolm Longair,wrote the definitive Memoir of David's life for the Royal Society,"It was a privilege to be an author with Michael Cates of David's Biographical Memoir for the Royal Society.   There is little I can add to our broad overview of the breadth and quality of David's many contributions to science and society and his highly principled approach to everything he did.  We tried to reflect that in our summary of his achievement. 

In everything he did, David held to and practised high-minded principles. These included making the fruits of his research freely available to all, and living in as eco-friendly a manner as possible. To all his activities, he brought a formidable intellect which gained him world-wide recognition as one of the most inspiring scientists of his generation.

On a personal note, I particularly appreciate his very deep understanding of physical processes.  His great book Sustainable Energy - without the hot air seems effortless and yet it disguises his outstanding ability to reduce extremely complex problems to simple and convincing basic physics.  This is a much rarer gift than one might imagine and yet is at the heart of his inspiring genius in everything he did.","Longair, Malcolm"
INFORMATION_THEORY,Dr. Mohammad Emtiyaz Khan,read his books and works,"I never met David in person, but his work has heavily influenced my own research. When I was starting out in the field of machine learning, I had the pleasure to learn from David's book on ITILA. As I learned more about Bayesian principles, I realized how deeply David had thought these ideas and how broad his perspective was. I still remember that a few years ago when I was invited to give a tutorial on Bayes-related topic at a reputed ML conference, I was specifically instructed to follow David's tutorial from 1997 on Gaussian Processes that, according to the organizers, ""ave birth to a whole new area of research for the following ten years"". Such was the impact of his work. Many of my own works is influenced by ideas originally pioneered by David, including those in neural networks, Gaussian processes, and marginal likelihood. David was a visionary who believed in scientific work that also had real impact on the society (SEWTHA being a great example). Even today I take inspirations from his works and our whole community will continue to benefit from it for years to come. 
","Khan, Mohammad"
INFORMATION_THEORY,Tom Richardson,"Conferences, talks, etc.  Also enjoyed his book.","David's early work reinventing LDPC codes was critical in launching the modern version of the field. His clear and forceful thinking was an attractor for many, including myself.","Richardson, Tom"
PERSON,Patrick Thiran,"Read his books, invited him for a talk. ","David's book ITILA is an outstanding textbook that I used both for my teaching and research and his SEWTHA book is one of the most convincing books on sustainable energy. I remember vividly the passionate talk he gave at EPFL in May 2008. It was the first talk on sustainable energy that I ever attended, and that was so clear, principled, full of good energy, both in its content and its form. ","Thiran, Patrick"
ITILA,Prof Vincent Fortuin,"Read his book and worked at the same insitute, though after his passing","David's much too early passing unfortunately meant that I never had the privilege to meet him in person, but it would not be exaggerated to say that reading ITILA as a student was one of the main reasons why I am now working in Bayesian machine learning. During my time at CBL in Cambridge, I was always in awe at all the little stories and anecdotes about David that are still being fondly remembered there. Be it about his sharp and insightful comments during tea talks, or his quirky projects, such as bringing his laptop to an ultimate frisbee match to compute some Bayesian statistics on the game scores in real time.","Fortuin, Vincent"
PERSON,Diederik Kingma,Read his books and papers.,"David's book on information theory is a pearl, and was of great value during my graduate studies. This book and his papers were a great inspiration for my research during my PhD and beyond. His book on sustainable energy also had a great impact on me. His impact on myself and the wider world huge. Thank you, David!","Kingma, Diederik"
SEWTHA,"Nick Pidgeon, MBE, FBA, Cardiff University",,"David was a one-off, a genuine scholar and gentleman who also understood the urgency and complexity of the task that he had set himself - to bring mathematics, engineering and physics to bear in a transparent manner on the transition away from fossil fuels. While his approach did on the odd occasion come up against the political realities of government during his time as Chief Scientist at DECC, all of us who knew him at that time admired and valued the passion and intellectual effort that he put into this task. He remains sorely missed within the UK energy and sustainability research communities'","Pidgeon, Nick"
PERSON,James Geddes,"We worked together at DECC on the 2050 Calculator, a sort of electronic version of SEWTHA; and I had hoped to work with him afterwards.","Once someone asked me why the air gets colder as you go up. (It's about 1 ºC colder for every 100m up.) I thought about it and came up with a clever explanation. I told it to David and he explained to me that I was completely wrong. He wasn't *always* right but he was *nearly* always right; and he never, ever made you feel foolish for asking the question. To emulate his generosity of ideas and kindness with explanations I believe that it's enought to know that that is a thing one ought to do. It's much harder to work through those ideas in the first place. I try to remember, when I am disheartened, that David showed that asking the simple questions is always right, if you put in the effort to answer them. I still don't understand why it gets colder, though.","Geddes, James"
CLARITY,Andriy Mnih,Read his papers and ITILA,"I was introduced to David's work in Geoffrey Hinton's neural networks course, where two chapters from David's thesis were assigned reading. Reading them was an unforgettable experience, and ever since I admired David's ability to explain the essence of complex ideas in an intuitive yet precise way.","Mnih, Andriy"
SEWTHA,Professor Jonathan Cullen (PhD) ,Collaborated on research and contributed to SEWTHA,"David has an exceptional ability to simplify a complex problems into simple and understandable heuristics, where trade-offs could be considered. His book SEWTHA and the 2050 calculator work at DECC cut through the technical and policy jargon, bridged across discipline silos, and delivered a joint vision for reducing emissions, pragmatically. ","Cullen, Jonathan"
PERSON,Dr Julian Huppert,,"David was an inspiration to me and to so many others. I had the great good fortune to collaborate with him scientifically and politically, and I treasured working with him in both domains. He was fun to work with, and combined that light touch with underpinning seriousness - the work mattered, especially the ability for it to make a real difference in the world. I miss him immensely - but his ripples continue to resound around the world. ","Huppert, Julian"
INFORMATION_THEORY,Jarno Vanhatalo,,"I met David a couple of times in conferences and workshops but he
probably would not have remembered me. The first occasion was in the
[Gaussian Processes in Practice workshop in 2006 (https://gpss.cc/gpip/)
where I was presenting my work as a starting phd student. It was my
first ever conference/workshop and I was taken by the energy and clarity
by which he presented his tutorial to Gaussian Processes. Since then, I
often used his notes and papers in various occasions in my research.
However, he also gave an example to how a researcher can be more than
just a researcher. This was valuable to young me as well.","Vanhatalo, Jarno"
SEWTHA,"Professor Andrew Blake FRS FREng, Vice President, Clare Hall, University of Cambridge, Emeritus Distinguished Scientist, Microsoft",,"David had an intense career, and achieved so much in his shortened time with us. For one thing he was a gifted interpreter and expositor … one example: I had always found the classic Independent Component Analysis (ICA) inscrutable if not magical, but David’s tutorial laid it bare in just a few crystal clear pages, as a straightforward likelihood maximisation. Of course after a spectacularly successful career in Bayesian neural networks, and later in coding, he pulled off a startling pivot, and became the UK’s expert in sustainable energy supply. Afterwards, in his last year, I heard him at a lecture at Microsoft Research exhorting all ML experts to pivot likewise to the great climate challenge. I thought it was a great call to arms, and I have been doing it as best I can ever since.","Blake, Andrew"
CLARITY,Sebastian Farquhar,,"I never met David, but he shaped my life twice in big ways through his work. I first came across Sustainable Energy: Without the Hot Air as an undergraduate, and it gave me a transformative sense of the power of well-chosen illustrative calculations for understanding big issues. That book had quite a big impact on the very earliest days of effective altruism, although I have no idea what he thought of it. I came across his Information Theory, Inference, and Learning Algorithms somewhat later, and found it transfixing. I had just finished Jayne's Probability Theory with mixed emotions, but something about ITILA felt incredibly right. I spent a very happy summer working through his book each morning for a few hours in the first year of my DPhil. This was the summer before he passed away, and at the time I was very excited about reaching out to him, though I never did. I spent several years deeply engrossed in approximate inference from that start, though I've since moved away from it, and I doubt I'll be lucky enough to have enough time to properly sink my teeth into it again. But I'll always treasure the journey that his research took me on.","Farquhar, Sebastian"
CLARITY,Alan Yuille,,"When thinking of David, I immediately remember how Geoff Hinton joked that we should motivate David to work on  the convergence of contrastive learning. The plan was to write a paper that would seem to show insight but didn't really, hence provoking David to solve this problem himself. I went ahead, without Geoff, and published a paper like that in NeurIPS. In my defense, the paper did have some value because it introduced the community to Laurent Younes's work on the convergence of stochastic sampling.  I presented the work somewhere (Gatsby?) with David in the audience and heard him grumble about it, but sadly it did not provoke him enough to work on this topic. I enjoyed talking with David whenever I visited England --  at Gatsby or Cambridge -- not close enough to  a friend or collaborator  but as someone who was friendly and interesting to talk to. He was always original, insightful, and quick to grasp the key points. I became aware of him very early in his career because of his work at Caltech on learning receptive fields and, by coincidence, I'd overlapped with his brother Robert at Trinity and had heard a few talks by his father. I was struck by David's clarity of thought and particularly liked  his book on Information Theory, but was frustrated that the complexity and messiness of vision meant that ideas like model selection couldn't be easily translated.  I first started interacting with him at a meeting in Trieste about statistical physics and information theory (my memory is that David intercepted me when I arrived and started talking about belief propagation).  I was very impressed by how he switched fields and wrote his book on sustainable energy, showing how such a complex and emotive topic could be discussed in a rational  evidence based manner. I was curious how David would interact with politicians like Chris Hume (who had brutally demolished a political opinion of mine many years earlier at high school, and who was later jailed for lying about a speeding ticket). But David told me that Chris was a very good politician because he could be persuaded to change his mind in face of the evidence. For once I completely agree with my AI overview which tells me that  David was an iconoclast with the ability to cut through the twaddle. I wish he was still around because I'm sure he would not only have strong opinions on the current state of AI but would also be taking action.","Yuille, Alan"
INFORMATION_THEORY,Kazutoshi Ichikawa PhD,,"I had the privilege of working with David during my time as a graduate student, when we collaborated at Darwin College. Our work together focused on neural networks at a very early stage of AI research—long before these ideas became widely used by society. Beyond the research itself, what left the deepest impression on me was David’s way of thinking: his intellectual generosity, curiosity, and clarity of insight profoundly shaped how I went on to think as a researcher.
Being able to publish a co-authored paper with David remains one of my proudest achievements. His influence has stayed with me throughout my career, and I know that many others around the world have similarly benefited from his ideas and his spirit.
I am grateful for the opportunity to contribute these reflections, and I hope they help convey the depth of David’s impact.","Ichikawa, Kazutoshi"
SEWTHA,Anna Stephenson,colleague at DECC,"He was an inspiration - so kind, witty, thoughtful and clever - and he cared so deeply for the environment and trying to tackle climate change. I met him in the Cambridge Zero Carbon Society when I was a PhD student and was straight away in awe of his intellect, communication skills and passion for the environment. I therefore followed him into government, as an Engineering Advisor in DECC, whilst he was the Chief Scientist. He was an inspiration to work for - we were on a Mission to ensure evidence-based policy making was used in the Department; the phrases 'Numbers Not Adjectives', and 'Every Big Help' were often heard in everyday discussion in those days. He was very direct whilst always being positive - his technical assessment of anything was always spot on - and he wasn't afraid to say if policies were going in the wrong direction. This could cause tension - for example when he pointed out emissions from burning biomass are often worse than coal - but he got results and influenced for the better.  David had time for everyone, no matter their grade, and took the attitude you can always learn something new from whoever you are talking to. He always had a pot of tea (often Lapsang Sooshang) in his office and was open for anyone to come and talk.  He was also fun - he got involved in the Xmas floor parties, and was very competitive at space hopping races. We still miss him a lot in Government, and I often wonder what UK climate and energy policies would be like now if he was still around. He was an inspirational person , who really impacted and influenced my life as well as many others in DECC.
","Stephenson, Anna"
DASHER,Yvette Haas,"He's one of the key drivers of the Dasher Project, and I love Dasher.","Because of Dasher, I'm able to text with my friends at a speed that lets the conversations flow naturally and go on for hours, all without me getting tired. Without it, I wouldn't have the ability to connect with friends as much.","Haas, Yvette"
CLARITY,Ken Miller,,"I met David when he was a first-year grad student at Caltech. I was towards the end of my Ph.D., and had been invited to Caltech to give a talk. At some point this very polite, tall young man handed me a paper he had written and asked if I might take a look at it. That night in my hotel room, I took a look, not expecting much, and my jaw dropped. It was an analysis of a key paper in my specialization at that point, and I could only think ""Oh my god, this is brilliant. Why didn't I think of any of this?"". I thought about it for a few days after returning home to San Francisco and realized one key piece that was missing. I sent him an email on the very new internet/NSFnet, used only by academics at that point, and that was the beginning of a wonderful collaboration and friendship. That turned into David's very first published paper, on which I'm proud to have been a co-author. At some point in working on this, David visited me in San Francisco. I remember standing in the kitchen of my shared apartment as David was cooking breakfast. I mentioned to him an interesting finding from my Ph.D. work, on the difference between enforcing a constraint subtractively vs. multiplicatively, and David, standing at the stove, instantly saw in his mind the geometric picture that explained the difference, which you can see in Fig. 3 of what became our 2nd (and last) paper together. After I finished my Ph.D. I started a postdoc at Caltech, where we overlapped for I think 2 years and cemented a close friendship (and also finished that 2nd paper).

What was most striking about David was his mathematical brilliance, the depth and mastery of his mathematical understanding and his ability to wield all of it to gain understanding as simply as most people wield arithmetic; his wide-ranging and original thinking; and his absolute and fearless devotion to the truth, in all aspects of his life. We would talk constantly in the Caltech years. Pretty much every day, I would make some mistake that David would correct. About once a year, David would make a mistake. Because he had a very well-founded prior, based on lots of experience, that he was correct, it could take a long time to make him see the mistake -- which could be on something very simple. When he finally saw it, he would be stunned, terribly ashamed and terribly apologetic; I would just say to him ""David, you've made your mistake for the year; you'll make another one next year; don't worry about it."" I was talking with David through the years that he was discovering the wonders of Bayesianism, and he would excitedly tell me about it. I've never worked on probabilistic models, so pretty much everything I know about the field is what David taught me. David would talk about a range of really interesting, original ideas and insights he had into a variety of scientific issues, and it was gratifying to later see them all written up in one place or another in his ITILA book. David was absolutely committed to the truth: because of what he knew about climate change, he wouldn't drive a car, bicycling everywhere no matter the weather; and he would only minimally heat his house, wearing a sweater indoors as needed. This was a kind of fanaticism, a purity of mind, that also drove him to his spectacular later contributions to both understanding and making understandable to the public the issues around sustainable energy and climate change.

It's funny, David wasn't strikingly brilliant about all aspects of life, as judged by the following. My girlfriend at the time, who was a doctor but not a scientist, would frequently be involved in conversations with David and me on non-technical subjects. I remember her saying to me at some point, something like ""If you weren't constantly telling me how brilliant he was, I would have no idea"". Obviously very smart, obviously a very nice guy, but not obviously unique or singular to at least one insightful, non-technical person.

Anytime you know someone ""as a kid"", it's a little surprising to watch them become famous, influential, even legendary. But David's brilliance was clearly singular, very special and unique, as was his absolutely sincere purity of mind. If anyone I knew was going to rise to those heights, it's no surprise it would have been David. I learned a tremendous amount from David; if I'm lucky, he also learned something from me. It was a special and very valued friendship for me, as people and not just as scientists, that I'm sorry faded to some extent in the last decade or so of his life as he was immersed in other realms I had nothing to do with and we saw very little of each other due to geographical distance. I was very lucky to be a friend and collaborator of young David. ","Miller, Ken"
